win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs,honest_hr_target_chain,attacker_hr_target_chain
0, 6437, 6, 43, 49, 4303200, 3394200, 0.44, 75, 500, 16, 159, 300, 5, 64, 63
0, 5265, 6, 49, 36, 4088925, 3146475, 0.44, 75, 500, 16, 132, 300, 5, 19, 14
0, 2626, 7, 21, 28, 2331600, 1342500, 0.44, 75, 500, 16, 67, 300, 5, 13, 16
0, 2869, 6, 30, 18, 2203950, 1301850, 0.44, 75, 500, 16, 77, 300, 5, 21, 12
0, 5323, 9, 40, 35, 3685875, 2768925, 0.44, 75, 500, 16, 129, 300, 5, 62, 44
1, 1003, 8, 13, 11, 919500, 1033350, 0.44, 75, 500, 16, 25, 300, 5, 75, 61
1, 1211, 7, 10, 15, 848175, 897150, 0.44, 75, 500, 16, 29, 300, 5, 55, 44
0, 5522, 12, 55, 36, 4271325, 3360600, 0.44, 75, 500, 16, 139, 300, 5, 32, 13
0, 6003, 7, 42, 48, 4326450, 3408525, 0.44, 75, 500, 16, 157, 300, 5, 49, 32
0, 5413, 11, 45, 50, 3723900, 2819850, 0.44, 75, 500, 16, 135, 300, 5, 75, 60
0, 4240, 5, 38, 26, 3102600, 2193900, 0.44, 75, 500, 16, 104, 300, 5, 6, 7
0, 4195, 11, 42, 28, 3139050, 2194425, 0.44, 75, 500, 16, 109, 300, 5, 70, 44
0, 1821, 6, 15, 9, 1471050, 544200, 0.44, 75, 500, 16, 45, 300, 5, 41, 36
0, 7800, 5, 64, 67, 5664375, 4772550, 0.44, 75, 500, 16, 198, 300, 5, 61, 59
0, 6689, 5, 50, 45, 4916475, 3970575, 0.44, 75, 500, 16, 170, 300, 5, 63, 46
0, 6755, 8, 60, 48, 4501050, 3544050, 0.44, 75, 500, 16, 171, 300, 5, 44, 33
