,kls=results&ty=por&q=0.4&ds=10&daa=20&scale=1,kls=results&ty=por&q=0.44&ds=10&daa=20&scale=1,kls=results&ty=trad&q=0.4&ds=10&daa=20&scale=1,kls=results&ty=trad&q=0.44&ds=10&daa=20&scale=1,kls=analytical&ty=trad&q=0.4&ds=10&daa=0&scale=1,kls=analytical&ty=trad&q=0.44&ds=10&daa=0&scale=1
16.1,,,,,0.0002914814494531237,0.030814434047902517
16.2,,,,,0.00027905424463881,0.030298412243379813
16.3,,,,,0.000267160949364631,0.0297913908784303
16.4,,,,,0.0002557784091022919,0.0292932035053608
16.5,,,,,0.00024488448520232353,0.028803687022765145
16.6,,,,,0.00023445800967347719,0.028322681600080113
16.7,,,,,0.00022447874201059204,0.027850030604110176
16.8,,,,,0.00021492732797923075,0.0273855805274571
16.9,,,,,0.00020578526026360233,0.026929180918799256
17.0,0.0026666666666666666,0.03277777777777778,0.0,0.005111111111111111,0.00019703484089261813,0.026480684314962644
17.1,,,,,0.00018865914536303485,0.026039946174729378
17.2,,,,,0.00018064198837886014,0.025606824814332407
17.3,,,,,0.00017296789113530053,0.02518118134458558
17.4,,,,,0.000165622050074532,0.02476287960960033
17.5,,,,,0.0001585903070453476,0.024351786127041253
17.6,,,,,0.00015185912080384334,0.023947770029878024
17.7,,,,,0.00014541553979274813,0.02355070300958595
17.8,,,,,0.00013924717614000048,0.023160459260756716
17.9,,,,,0.00013334218082305949,0.022776915427075828
18.0,,,,,0.00012768921994310567,0.02239995054862931
18.1,,,,,0.00012227745206072616,0.02202944601049961
18.2,,,,,0.000117096506543235,0.02166528549261615
18.3,,,,,0.00011213646287855372,0.02130735492082325
18.4,,,,,0.000107387830911021,0.02095554241913189
18.5,,,,,0.0001028415319578313,0.020609738263121513
18.6,,,,,9.848888076546825e-05,0.020269834834460876
18.7,,,,,9.432156826894023e-05,0.0199357265765151
18.8,,,,,9.033164511729197e-05,0.019607309951010565
18.9,,,,,8.651150592953183e-05,0.019284483395727303
19.0,0.002111111111111111,0.02722222222222222,0.0,0.003111111111111111,8.285387424999957e-05,0.01896714728319182
19.1,,,,,7.935178817031208e-05,0.018655203880341253
19.2,,,,,7.599858658791092e-05,0.018348557309135427
19.3,,,,,7.278789607279013e-05,0.01804711350808763
19.4,,,,,6.971361831520362e-05,0.017750780194692783
19.5,,,,,6.676991812837318e-05,0.017459466828726566
19.6,,,,,6.395121198032871e-05,0.017173084576393105
19.7,,,,,6.125215703189912e-05,0.016891546275299096
19.8,,,,,5.866764065909358e-05,0.016614766400232073
19.9,,,,,5.61927704353371e-05,0.016342661029721817
