$k$ (B/s),PoRs TPS2,PoRTs TPS2,HOPoRs TPS2,HOPoRTs TPS2,OP TPS2,OPT TPS2,HO TPS2,HOT TPS2
9700,15838269.933333334,22370230.53333333,21612392.166666668,32161785.599999998,29103093.112244904,47142200.41322315,76395619.41964287,194461576.70454544
9800,16306827.600000001,23032034.83636364,22815533.06666667,33113451.636363637,30012500,48615289.25619835,78782812.50000001,200538068.1818182
9900,16784526.942857146,23706756.6,23484046.457142856,34083703.2,30940656.887755107,50118750,81219224.33035715,206739843.75
10000,17271456.19047619,24394500,24165476.19047619,35072688.48484848,31887755.102040816,51652892.561983466,83705357.14285715,213068181.81818178
10100,17767709.823809523,25095439.393939387,24859945.695238102,36080640.12121212,32853985.969387755,53218026.859504126,86241713.16964287,219524360.79545453
10200,18273385.000000004,25809631.818181816,25567599.771428578,37107681.599999994,33839540.81632653,54814462.809917346,88828794.64285715,226109659.09090906
10300,18788555.18571429,26537276.44242425,26288548.742857143,38154031.56363637,34844610.969387755,56442510.330578506,91467103.79464285,232825355.1136363
10400,19313308.609523807,27277687.9030303,27022908.342857145,39219849.696969695,35869387.755102046,58102479.33884297,94157142.85714287,239672727.27272722
10500,19847733.5,28027746.09090909,27770801.999999996,40305312.72727273,36914062.5,59794679.75206611,96899414.0625,246653053.97727272
10600,20391918.08571429,28787095.187878784,28532365.25714286,41410625.551515155,37978826.53061225,61519421.4876033,99694419.64285715,253767613.63636363
10700,20945950.595238093,29555735.19393939,29307728,42535923.99999999,39063871.173469394,63277014.46280991,102542661.83035715,261017684.65909088
10800,21509919.257142857,30333666.109090913,30096995.65714286,43681444.36363635,40169387.755102046,65067768.59504132,105444642.85714287,268404545.45454544
10900,22083912.819047622,31120887.933333337,30900291.657142855,44845662.56969697,41295567.60204082,66891993.8016529,108400864.95535715,275929474.4318182
11000,22668041.523809534,31917400.666666668,31717741.52380953,46024090.66666666,42442602.04081633,68749999.99999999,111411830.35714285,283593749.99999994
11100,23262371.485714287,32723204.30909091,32549496.228571434,47216464.21818182,43610682.39795918,70642097.10743801,114478041.29464287,291398650.5681818
11200,23866990.933333337,33538298.86060606,33395650.133333333,48422783.22424242,44800000.00000001,72568595.0413223,117600000,299345454.5454545
11300,24481988.095238093,34362684.32121212,34256326.66666668,49643047.68484847,46010746.173469394,74529803.71900825,120778208.70535715,307435440.34090906
11400,25107451.200000003,35196360.69090909,35131649.25714287,50877257.6,47243112.24489796,76526033.05785124,124013169.64285715,315669886.3636364
11500,25743468.476190474,36039327.96969697,36021765.42857143,52125412.96969696,48497289.54081633,78557592.97520661,127305385.04464287,324050071.02272725
11600,26389957.466666676,36891586.15757575,36926783.77142857,53387513.79393938,49773469.38775511,80624793.38842975,130655357.14285716,332577272.7272727
11700,27044507.10000001,37753135.25454546,37846819.02857143,54663560.07272727,51071843.112244904,82727944.21487604,134063588.16964285,341252769.88636357
11800,27706356.733333338,38623975.26060606,38781994.62857143,55953551.8060606,52392602.04081633,84867355.37190081,137530580.35714287,350077840.9090909
11900,28375506.366666675,39504106.17575758,39732447.6,57257488.993939385,53735937.5,87043336.77685949,141056835.9375,359053764.2045455
12000,29051956.000000007,40393528,40698308.571428575,58575371.636363626,55102040.816326536,89256198.34710743,144642857.14285713,368181818.1818182
12100,29735705.63333334,42049334.79999999,41679680.74285715,59907199.73333333,56491103.31632653,91506249.99999999,148289146.20535713,377463281.24999994
12200,30426755.266666677,43055198.93333334,42676687.542857155,61252973.28484848,57903316.32653062,93793801.65289254,151996205.3571429,386899431.8181818
12300,31125104.900000006,44076938.18181818,43689454.74285714,62612692.29090908,59338871.17346938,96119163.2231405,155764536.83035713,396491548.29545444
12400,31830754.53333334,45114754.666666664,44718136.53333333,63986356.751515135,60797959.18367347,98482644.62809917,159594642.85714287,406240909.09090906
12500,32543704.166666675,46168681.818181805,45762507.14285714,65373966.666666664,62280771.68367347,100884555.78512396,163487025.66964287,416148792.6136364
12600,33263953.80000001,47238927.27272727,46818907.2,66775522.03636363,63787500,103325206.61157024,167442187.5,426216477.2727272
12700,33991503.43333334,48325555.090909086,47886264.4,68191022.86060604,65318335.45918367,105804907.02479339,171460630.58035713,436445241.4772726
12800,34726353.06666667,49428714.27878787,48964578.74285715,69620469.13939393,66873469.38775511,108323966.94214873,175542857.14285713,446836363.63636357
12900,35468502.70000001,50548542.1090909,50053850.22857143,71063860.87272726,68453093.1122449,110882696.28099172,179689369.4196429,457391122.1590909
13000,36217952.33333334,51685113.212121196,51154078.85714286,72521198.06060605,70057397.95918368,113481404.95867766,183900669.64285713,468110795.4545455
13100,36974701.96666667,52838640.39999998,52265264.628571436,73992480.70303029,71686575.25510207,116120402.89256199,188177260.04464287,478996661.9318182
13200,37738751.60000001,54009148.8,53387407.54285714,75477708.8,73340816.3265306,118800000,192519642.85714287,490050000
13300,39079709.20000001,55196847.49090909,54520507.6,76976882.35151516,75020312.5,121520506.19834709,196928320.31250003,501272088.06818175
